ItemNo,Theme,Modality,Complexity,Sentence,AudioFile,Question,Answer,group
1,外送,Listen,Simple,店員核對剛才客人透過外送平台預訂的海鮮披薩,audio_01_S.mp3,店員正在核對披薩嗎？,是,1
1,外送,Listen,Complex,因為客人剛才預訂了海鮮披薩所以店員正在核對,audio_01_C.mp3,店員正在核對披薩嗎？,是,2
1,外送,Read,Simple,店員核對剛才客人透過外送平台預訂的海鮮披薩,,店員正在核對披薩嗎？,是,3
1,外送,Read,Complex,因為客人剛才預訂了海鮮披薩所以店員正在核對,,店員正在核對披薩嗎？,是,4
2,辦公室,Listen,Complex,由於會議紀錄被總經理寫好了所以助理正在影印,audio_02_C.mp3,紀錄是助理寫的嗎？,否,1
2,辦公室,Read,Simple,助理影印總經理昨天早上寫下的會議紀錄,,紀錄是助理寫的嗎？,否,2
2,辦公室,Read,Complex,由於會議紀錄被總經理寫好了所以助理正在影印,,紀錄是助理寫的嗎？,否,3
2,辦公室,Listen,Simple,助理影印總經理昨天早上寫下的會議紀錄,audio_02_S.mp3,紀錄是助理寫的嗎？,否,4
3,家務,Read,Simple,媽媽清洗弟弟下午在操場踩到泥巴坑弄髒的球鞋,,媽媽在清洗運動鞋嗎？,是,1
3,家務,Read,Complex,因為弟弟下午在操場時踩到泥巴坑弄髒了球鞋所以媽媽正在清洗,,媽媽在清洗運動鞋嗎？,是,2
3,家務,Listen,Simple,媽媽清洗弟弟下午在操場踩到泥巴坑弄髒的球鞋,audio_03_S.mp3,媽媽在清洗運動鞋嗎？,是,3
3,家務,Listen,Complex,因為弟弟下午在操場時踩到泥巴坑弄髒了球鞋所以媽媽正在清洗,audio_03_C.mp3,媽媽在清洗運動鞋嗎？,是,4
4,料理,Read,Complex,既然爸爸挑選了從南方澳漁港買回來的新鮮鱸魚廚師就開始處理,,廚師在處理鱸魚嗎？,是,1
4,料理,Listen,Simple,廚師處理爸爸特地去南方澳漁港挑選的新鮮鱸魚,audio_04_S.mp3,廚師在處理鱸魚嗎？,是,2
4,料理,Listen,Complex,既然爸爸挑選了從南方澳漁港買回來的新鮮鱸魚廚師就開始處理,audio_04_C.mp3,廚師在處理鱸魚嗎？,是,3
4,料理,Read,Simple,廚師處理爸爸特地去南方澳漁港挑選的新鮮鱸魚,,廚師在處理鱸魚嗎？,是,4
5,維修,Listen,Simple,師傅幫助鄰居更換壓到鐵釘而報廢的破損輪胎,audio_05_S.mp3,輪胎目前是完好的嗎？,否,1
5,維修,Listen,Complex,雖然壓到鐵釘而報廢的破損輪胎很難處理但是師傅仍正在幫助鄰居更換新輪胎,audio_05_C.mp3,輪胎目前是完好的嗎？,否,2
5,維修,Read,Simple,師傅幫助鄰居更換壓到鐵釘而報廢的破損輪胎,,輪胎目前是完好的嗎？,否,3
